State,houseRep,senateRep,index,state_fips,presRep,totalRep,Party
ALABAMA,0.8571428571428571,1.0,3741,1,0.62,2.4771428571428573,Red
ALASKA,1.0,1.0,3745,2,0.53,2.5300000000000002,Red
ARIZONA,0.4444444444444444,0.0,3753,4,0.49,0.9344444444444444,Purple
ARKANSAS,1.0,1.0,3771,5,0.62,2.62,Red
CALIFORNIA,0.20754716981132076,0.0,3774,6,0.34,0.5475471698113208,Blue
COLORADO,0.42857142857142855,0.0,3785,8,0.42,0.8485714285714285,Purple
CONNECTICUT,0.0,0.0,3808,9,0.39,0.39,Blue
DELAWARE,0.0,0.0,3839,10,0.4,0.4,Blue
FLORIDA,0.5925925925925926,1.0,3850,12,0.51,2.1025925925925923,Red
GEORGIA,0.5714285714285714,0.0,3879,13,0.49,1.0614285714285714,Purple
HAWAII,0.0,0.0,3882,15,0.34,0.34,Blue
IDAHO,1.0,1.0,3890,16,0.64,2.64,Red
ILLINOIS,0.2777777777777778,0.0,3905,17,0.41,0.6877777777777778,Blue
INDIANA,0.7777777777777778,1.0,3925,18,0.57,2.3477777777777775,Red
IOWA,0.75,1.0,3938,19,0.53,2.2800000000000002,Red
KANSAS,0.75,1.0,3950,20,0.56,2.31,Red
KENTUCKY,0.8333333333333334,1.0,3953,21,0.62,2.4533333333333336,Red
LOUISIANA,0.8333333333333334,1.0,3970,22,0.58,2.4133333333333336,Red
MAINE,0.0,0.5,3983,23,0.44,0.94,Purple
MARYLAND,0.125,0.0,3988,24,0.32,0.445,Blue
MASSACHUSETTS,0.0,0.0,4015,25,0.32,0.32,Blue
MICHIGAN,0.5,0.0,4021,26,0.48,0.98,Purple
MINNESOTA,0.5,0.0,4031,27,0.45,0.95,Purple
MISSISSIPPI,0.75,1.0,4042,28,0.58,2.33,Red
MISSOURI,0.75,1.0,4050,29,0.57,2.32,Red
MONTANA,1.0,0.5,4061,30,0.57,2.07,Red
NEBRASKA,1.0,1.0,4067,31,0.58,2.58,Red
NEVADA,0.25,0.0,4072,32,0.48,0.73,Blue
NEW HAMPSHIRE,0.0,0.0,4077,33,0.45,0.45,Blue
NEW JERSEY,0.16666666666666666,0.0,4099,34,0.41,0.5766666666666667,Blue
NEW MEXICO,0.3333333333333333,0.0,4111,35,0.43,0.7633333333333333,Blue
NEW YORK,0.2962962962962963,0.0,4114,36,0.37,0.6662962962962963,Blue
NORTH CAROLINA,0.6153846153846154,1.0,4137,37,0.5,2.1153846153846154,Red
NORTH DAKOTA,1.0,1.0,4144,38,0.65,2.65,Red
OHIO,0.75,0.5,4148,39,0.53,1.78,Purple
OKLAHOMA,1.0,1.0,4158,40,0.65,2.65,Red
OREGON,0.2,0.0,4164,41,0.4,0.6000000000000001,Blue
PENNSYLVANIA,0.5,0.5,4170,42,0.49,1.49,Purple
RHODE ISLAND,0.0,0.0,4174,44,0.39,0.39,Blue
SOUTH CAROLINA,0.8571428571428571,1.0,4181,45,0.55,2.4071428571428575,Red
SOUTH DAKOTA,1.0,1.0,4185,46,0.62,2.62,Red
TENNESSEE,0.7777777777777778,1.0,4188,47,0.61,2.3877777777777776,Red
TEXAS,0.6388888888888888,1.0,4201,48,0.52,2.158888888888889,Red
UTAH,1.0,1.0,4222,49,0.58,2.58,Red
VERMONT,0.0,0.0,4229,50,0.3,0.3,Blue
VIRGINIA,0.36363636363636365,0.0,4253,51,0.44,0.8036363636363637,Purple
WASHINGTON,0.3,0.0,4257,53,0.39,0.69,Blue
WEST VIRGINIA,1.0,0.5,4264,54,0.69,2.19,Red
WISCONSIN,0.625,0.5,4268,55,0.49,1.615,Purple
WYOMING,1.0,1.0,4281,56,0.69,2.69,Red
